n,seconds
1,0.0000060000
2,0.0000037000
3,0.0000071000
4,0.0000153000
5,0.0000282000
6,0.0000634000
7,0.0001528000
8,0.0002824000
9,0.0007022000
10,0.0012455000
11,0.0027462000
12,0.0053144000
13,0.0129826000
14,0.0241180000
15,0.0733550000
16,0.1126849000
17,0.2491035000
18,0.4368286000
19,1.0414255000
20,2.1487730000
21,4.1331374000
22,7.3810644000
